customer_id,churn_flag,days_since_last_purchase,total_transactions,total_revenue,avg_order_value,total_items_purchased,avg_discount_received,unique_products,unique_categories,unique_subcategories,customer_lifespan_days,purchase_frequency,total_sessions,total_pages_viewed,avg_pages_per_session,total_cart_abandonments,cart_abandonment_rate,engagement_score,customer_value_score,discount_dependency,is_active,is_dormant,customer_tenure_days,loyalty_tier_encoded,age_band_encoded
C000030,1,202.0,3.0,615.5600000000001,205.1866666666667,4.0,28.333333333333332,3.0,2.0,3.0,250.0,0.3214285714285714,4.0,20.0,5.0,1.0,0.25,0.2939647577092511,0.02262420380529872,0.6910569105691057,0,1,231,0,4.0
C000031,0,40.0,22.0,3383.14,153.7790909090909,37.0,13.863636363636363,22.0,5.0,15.0,613.0,1.026438569206843,4.0,17.0,4.25,1.0,0.25,0.31307488986784143,0.10537110200471357,0.33813747228381374,1,0,443,1,2.0
C000032,0,3.0,17.0,2232.19,131.30529411764707,29.0,11.470588235294118,17.0,5.0,12.0,702.0,0.6967213114754098,2.0,11.0,5.5,0.0,0.0,0.31646696035242294,0.07257589201699623,0.2797704447632712,1,0,556,2,1.0
C000033,1,664.0,1.0,114.66,114.66,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,33.0,3.6666666666666665,0.0,0.0,0.45565491923641704,0.03553836492460571,0.0,0,1,125,2,2.0
C000034,0,31.0,9.0,754.5799999999999,83.84222222222222,12.0,21.11111111111111,9.0,5.0,9.0,692.0,0.3739612188365651,4.0,8.0,2.0,1.0,0.25,0.27789427312775333,0.03224193850723679,0.5149051490514905,1,0,496,0,5.0
C000035,0,8.0,151.0,19911.63,131.86509933774835,232.0,13.079470198675496,142.0,5.0,25.0,716.0,6.072386058981233,1.0,5.0,5.0,0.0,0.0,0.46455947136563874,0.6333463900902784,0.31901146826037796,1,0,265,3,2.0
C000036,0,12.0,22.0,2143.1,97.41363636363636,31.0,10.909090909090908,21.0,5.0,16.0,708.0,0.8943089430894309,3.0,20.0,6.666666666666667,0.0,0.0,0.35740822320117477,0.08162875711308325,0.2660753880266075,1,0,751,3,1.0
C000037,1,275.0,2.0,98.80000000000001,49.400000000000006,2.0,15.0,2.0,2.0,2.0,168.0,0.30303030303030304,5.0,17.0,3.4,3.0,0.6,0.23484317180616743,0.013368711304704678,0.36585365853658536,0,1,504,1,2.0
C000038,0,4.0,9.0,1502.93,166.99222222222224,13.0,12.222222222222221,9.0,5.0,7.0,698.0,0.3708791208791209,2.0,7.0,3.5,0.0,0.0,0.2898942731277533,0.04326248490981507,0.29810298102981025,1,0,415,0,2.0
C000039,0,34.0,12.0,1207.29,100.6075,18.0,8.75,11.0,5.0,10.0,696.0,0.49586776859504134,5.0,9.0,1.8,0.0,0.0,0.3552590308370044,0.04491804372335069,0.21341463414634146,1,0,445,1,1.0
C000040,0,62.0,16.0,710.78,44.42375,28.0,15.625,16.0,4.0,11.0,626.0,0.7317073170731707,4.0,22.0,5.5,0.0,0.0,0.36514537444933926,0.05014387382761125,0.38109756097560976,1,0,243,1,1.0
C000041,0,2.0,5.0,832.0899999999999,166.41799999999998,8.0,15.0,5.0,4.0,4.0,653.0,0.21961932650073207,2.0,11.0,5.5,1.0,0.5,0.2006079295154185,0.024438177253819537,0.36585365853658536,1,0,394,1,2.0
C000042,0,47.0,45.0,6688.68,148.63733333333334,72.0,12.666666666666666,45.0,5.0,23.0,658.0,1.9622093023255813,6.0,16.0,2.6666666666666665,0.0,0.0,0.43080469897209983,0.2075801447811562,0.30894308943089427,1,0,98,2,3.0
C000043,0,44.0,7.0,2804.9500000000003,400.7071428571429,11.0,5.714285714285714,7.0,4.0,6.0,686.0,0.29329608938547486,5.0,16.0,3.2,0.0,0.0,0.35985110132158593,0.058121464833632064,0.13937282229965156,1,0,545,2,3.0
C000044,1,99.0,4.0,713.11,178.2775,7.0,17.5,4.0,3.0,3.0,338.0,0.32608695652173914,6.0,27.0,4.5,1.0,0.16666666666666666,0.3579530102790015,0.025197937596273243,0.4268292682926829,0,0,433,0,3.0
C000045,0,20.0,62.0,8819.52,142.25032258064516,107.0,14.112903225806452,61.0,5.0,23.0,700.0,2.547945205479452,3.0,14.0,4.666666666666667,1.0,0.3333333333333333,0.32760499265785614,0.2740315567970953,0.34421715184893786,1,0,596,1,1.0
C000046,0,82.0,9.0,676.27,75.14111111111112,14.0,13.333333333333334,8.0,4.0,7.0,441.0,0.5732484076433121,3.0,26.0,8.666666666666666,0.0,0.0,0.35622760646108664,0.03665649826106755,0.3252032520325203,1,0,463,0,5.0
C000047,0,3.0,9.0,2971.7,330.18888888888887,14.0,5.555555555555555,9.0,4.0,9.0,584.0,0.4397394136807818,5.0,12.0,2.4,2.0,0.4,0.2760942731277533,0.06735404988346463,0.13550135501355012,1,0,316,1,3.0
C000048,0,3.0,21.0,4232.14,201.5304761904762,37.0,20.714285714285715,21.0,5.0,11.0,675.0,0.8936170212765957,3.0,10.0,3.3333333333333335,0.0,0.0,0.32941997063142436,0.11265293156540643,0.505226480836237,1,0,195,0,4.0
C000049,0,52.0,3.0,114.94,38.31333333333333,5.0,13.333333333333334,3.0,2.0,2.0,637.0,0.13493253373313344,6.0,23.0,3.8333333333333335,1.0,0.16666666666666666,0.35129809104258447,0.009055184383881122,0.3252032520325203,1,0,586,0,2.0
C000050,0,36.0,23.0,2116.38,92.01652173913044,32.0,13.478260869565217,20.0,5.0,15.0,664.0,0.9942363112391931,2.0,6.0,3.0,0.0,0.0,0.3043964757709251,0.08354473247154566,0.32873806998939553,1,0,113,1,2.0
C000051,0,4.0,15.0,2781.14,185.40933333333334,23.0,10.0,15.0,5.0,11.0,710.0,0.6081081081081081,5.0,19.0,3.8,0.0,0.0,0.3752237885462555,0.07588040012181468,0.24390243902439024,1,0,512,2,2.0
C000052,1,632.0,1.0,43.95,43.95,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.25832158590308374,0.03448748641335472,0.0,0,1,311,0,2.0
C000053,0,1.0,8.0,363.45000000000005,45.431250000000006,11.0,14.375,8.0,4.0,7.0,590.0,0.3870967741935484,5.0,14.0,2.8,0.0,0.0,0.35797268722466963,0.025889844868441314,0.35060975609756095,1,0,176,0,2.0
C000054,1,246.0,7.0,450.26,64.32285714285715,8.0,16.428571428571427,7.0,5.0,7.0,480.0,0.4117647058823529,4.0,24.0,6.0,2.0,0.5,0.2572511013215859,0.027019797714819948,0.40069686411149824,0,1,469,0,1.0
C000055,0,43.0,14.0,1634.5,116.75,24.0,7.857142857142857,14.0,5.0,9.0,554.0,0.7191780821917809,4.0,27.0,6.75,0.0,0.0,0.3725022026431718,0.0615185227130702,0.19163763066202089,1,0,181,0,2.0
C000056,0,13.0,13.0,853.51,65.65461538461538,19.0,13.076923076923077,12.0,4.0,9.0,559.0,0.6621392190152802,3.0,8.0,2.6666666666666665,1.0,0.3333333333333333,0.24684728340675477,0.04609535792746569,0.31894934333958724,1,0,167,0,1.0
C000057,0,40.0,9.0,987.73,109.74777777777778,17.0,19.444444444444443,9.0,4.0,8.0,551.0,0.46471600688468157,0.0,0.0,0.0,0.0,0.0,0.21189427312775333,0.03868948344514388,0.47425474254742545,1,0,486,0,4.0
C000058,0,5.0,11.0,680.5899999999999,61.87181818181818,18.0,20.0,10.0,4.0,7.0,648.0,0.48672566371681414,4.0,27.0,6.75,0.0,0.0,0.3685374449339207,0.035819014180326056,0.4878048780487805,1,0,230,0,0.0
C000059,0,47.0,11.0,683.6,62.14545454545455,13.0,8.636363636363637,10.0,4.0,9.0,659.0,0.4789550072568941,3.0,23.0,7.666666666666667,1.0,0.3333333333333333,0.2842041116005874,0.03560837775307537,0.21064301552106432,1,0,535,1,3.0
C000060,1,196.0,4.0,511.05,127.7625,7.0,5.0,4.0,4.0,4.0,361.0,0.3069053708439898,3.0,19.0,6.333333333333333,0.0,0.0,0.3309530102790015,0.02156458766303801,0.12195121951219512,0,1,522,0,2.0
C000061,0,47.0,9.0,705.51,78.39,11.0,19.444444444444443,9.0,4.0,6.0,441.0,0.5732484076433121,1.0,3.0,3.0,1.0,1.0,0.0608942731277533,0.03806193134133728,0.47425474254742545,1,0,638,0,3.0
C000062,0,34.0,4.0,346.02,86.505,6.0,10.0,4.0,2.0,4.0,478.0,0.23622047244094488,8.0,45.0,5.625,0.0,0.0,0.45028634361233477,0.01678899468754035,0.24390243902439024,1,0,433,0,1.0
C000063,1,52.0,7.0,1014.11,144.87285714285716,12.0,19.285714285714285,7.0,4.0,6.0,674.0,0.2982954545454546,5.0,18.0,3.6,2.0,0.4,0.2830511013215859,0.03167063920116478,0.470383275261324,1,0,205,0,4.0
C000064,1,277.0,3.0,683.5799999999999,227.85999999999999,3.0,26.666666666666668,3.0,3.0,3.0,365.0,0.2278481012658228,4.0,11.0,2.75,0.0,0.0,0.3259647577092511,0.020559728246872758,0.6504065040650406,0,1,424,1,4.0
C000065,0,28.0,31.0,3610.22,116.45870967741935,59.0,17.096774193548388,31.0,5.0,16.0,683.0,1.3043478260869565,5.0,13.0,2.6,1.0,0.2,0.3467691629955948,0.1266168387715895,0.4169944925255704,1,0,682,1,4.0
C000066,0,72.0,3.0,1346.24,448.74666666666667,6.0,15.0,3.0,3.0,3.0,331.0,0.24930747922437674,4.0,15.0,3.75,1.0,0.25,0.2839647577092511,0.031113283466183132,0.36585365853658536,1,0,597,1,2.0
C000067,0,39.0,13.0,938.86,72.22,19.0,8.846153846153847,13.0,5.0,9.0,654.0,0.5701754385964912,3.0,17.0,5.666666666666667,1.0,0.3333333333333333,0.2708472834067548,0.04531244128478006,0.21575984990619138,1,0,657,2,1.0
C000068,0,90.0,1.0,85.46,85.46,3.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.5,1.0,0.5,0.1633215859030837,0.03510440010310197,0.24390243902439024,1,0,141,1,0.0
C000069,0,21.0,77.0,8827.25,114.6396103896104,125.0,15.584415584415584,75.0,5.0,25.0,705.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.30176211453744495,0.3072895220430598,0.3801076971808679,1,0,720,3,1.0
C000070,0,48.0,18.0,2532.1600000000003,140.67555555555558,28.0,7.222222222222222,17.0,5.0,12.0,647.0,0.7976366322008863,2.0,12.0,6.0,0.0,0.0,0.3217885462555066,0.08035041304593858,0.1761517615176152,1,0,143,0,3.0
C000071,0,42.0,45.0,8539.58,189.76844444444444,68.0,12.666666666666666,45.0,5.0,22.0,680.0,1.9014084507042253,3.0,6.0,2.0,1.0,0.3333333333333333,0.28380469897209987,0.23308974207358593,0.30894308943089427,1,0,285,1,2.0
C000072,1,372.0,1.0,138.76,138.76,1.0,15.0,1.0,1.0,1.0,0.0,1.0,3.0,9.0,3.0,0.0,0.0,0.3003215859030837,0.035896534520435834,0.36585365853658536,0,1,375,1,1.0
C000073,0,27.0,15.0,832.74,55.516,23.0,13.333333333333334,15.0,5.0,11.0,648.0,0.663716814159292,5.0,17.0,3.4,1.0,0.2,0.3320237885462555,0.04875114471192477,0.3252032520325203,1,0,420,0,1.0
C000074,0,46.0,20.0,1531.34,76.567,29.0,16.0,19.0,4.0,12.0,665.0,0.8633093525179856,4.0,27.0,6.75,2.0,0.5,0.280431718061674,0.06957639622899082,0.3902439024390244,1,0,448,1,5.0
C000075,0,71.0,13.0,1878.37,144.48999999999998,17.0,8.461538461538462,13.0,5.0,10.0,625.0,0.5954198473282443,2.0,3.0,1.5,0.0,0.0,0.2791806167400881,0.06010487743049022,0.20637898686679174,1,0,332,1,5.0
C000076,0,50.0,20.0,2788.82,139.441,26.0,13.25,20.0,4.0,12.0,663.0,0.8658008658008658,3.0,18.0,6.0,2.0,0.6666666666666666,0.21609838472834067,0.08931757722851794,0.3231707317073171,1,0,503,3,2.0
C000077,0,87.0,4.0,804.82,201.205,7.0,27.5,4.0,3.0,3.0,332.0,0.3314917127071823,1.0,3.0,3.0,0.0,0.0,0.2542863436123348,0.026738532955254555,0.6707317073170732,1,0,78,0,2.0
C000078,1,142.0,5.0,458.06,91.612,6.0,8.0,5.0,4.0,5.0,501.0,0.2824858757062147,3.0,24.0,8.0,1.0,0.3333333333333333,0.27894126284875187,0.02094542567426348,0.1951219512195122,0,0,133,0,4.0
C000079,0,8.0,30.0,6209.54,206.98466666666667,41.0,14.166666666666666,29.0,5.0,19.0,708.0,1.2195121951219512,3.0,11.0,3.6666666666666665,1.0,0.3333333333333333,0.2773142437591777,0.16051769811406041,0.34552845528455284,1,0,410,1,2.0
C000080,1,250.0,5.0,751.11,150.222,10.0,22.0,4.0,4.0,4.0,331.0,0.41551246537396125,4.0,17.0,4.25,2.0,0.5,0.2406079295154185,0.028701515834549208,0.5365853658536586,0,1,162,0,2.0
C000081,0,51.0,5.0,443.99,88.798,6.0,12.0,5.0,4.0,5.0,361.0,0.3836317135549872,1.0,1.0,1.0,0.0,0.0,0.2396079295154185,0.024060319803543735,0.2926829268292683,1,0,177,1,0.0
C000082,0,31.0,12.0,441.71,36.80916666666666,22.0,17.083333333333332,12.0,4.0,8.0,572.0,0.5980066445182725,6.0,17.0,2.8333333333333335,0.0,0.0,0.38852569750367105,0.03786764823413838,0.41666666666666663,1,0,386,0,2.0
C000083,0,10.0,29.0,2063.5,71.15517241379311,41.0,10.862068965517242,27.0,5.0,16.0,647.0,1.2850812407680945,2.0,18.0,9.0,0.0,0.0,0.3603259911894273,0.0991131202822002,0.2649285113540791,1,0,187,1,1.0
C000084,0,41.0,16.0,1379.34,86.20875,21.0,16.875,16.0,5.0,11.0,627.0,0.7305936073059361,2.0,19.0,9.5,1.0,0.5,0.24714537444933923,0.060043284493176516,0.4115853658536585,1,0,282,0,2.0
C000085,0,7.0,40.0,6178.97,154.47425,59.0,11.25,40.0,5.0,20.0,722.0,1.5957446808510638,2.0,6.0,3.0,1.0,0.5,0.22686343612334803,0.1831072765270601,0.27439024390243905,1,0,687,2,2.0
C000086,0,56.0,6.0,1035.55,172.59166666666667,9.0,5.0,6.0,4.0,5.0,569.0,0.3005008347245409,0.0,0.0,0.0,0.0,0.0,0.20792951541850221,0.03109087896940833,0.12195121951219512,1,0,87,1,3.0
C000087,0,34.0,15.0,547.19,36.47933333333334,21.0,15.333333333333334,15.0,5.0,10.0,521.0,0.8166969147005444,3.0,28.0,9.333333333333334,1.0,0.3333333333333333,0.3028237885462555,0.04953480692693194,0.3739837398373984,1,0,179,1,2.0
C000088,0,4.0,21.0,4205.08,200.24190476190475,34.0,15.0,20.0,4.0,11.0,658.0,0.9156976744186046,7.0,20.0,2.857142857142857,1.0,0.14285714285714285,0.39703901825047205,0.11200554336275413,0.36585365853658536,1,0,127,2,1.0
C000089,0,57.0,6.0,1483.47,247.245,10.0,0.0,6.0,4.0,5.0,364.0,0.4568527918781726,1.0,4.0,4.0,0.0,0.0,0.2649295154185022,0.04288604299348272,0.0,1,0,684,0,2.0
C000090,0,15.0,18.0,2689.69,149.4272222222222,28.0,17.22222222222222,18.0,4.0,13.0,698.0,0.7417582417582418,0.0,0.0,0.0,0.0,0.0,0.22378854625550662,0.0818261116821358,0.4200542005420054,1,0,562,0,1.0
C000091,1,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,1,710,1,3.0
C000092,0,7.0,25.0,4853.33,194.1332,41.0,14.6,23.0,5.0,16.0,698.0,1.0302197802197803,1.0,1.0,1.0,0.0,0.0,0.26603964757709253,0.12831592228615804,0.35609756097560974,1,0,496,1,1.0
C000093,0,2.0,17.0,1374.51,80.85352941176471,27.0,17.647058823529413,17.0,5.0,14.0,721.0,0.6790945406125166,3.0,7.0,2.3333333333333335,1.0,0.3333333333333333,0.24946696035242294,0.059249939453637476,0.430416068866571,1,0,709,0,1.0
C000094,0,5.0,11.0,1612.07,146.55181818181816,14.0,14.545454545454545,11.0,5.0,8.0,587.0,0.5348460291734198,2.0,4.0,2.0,2.0,1.0,0.0805374449339207,0.05221476632911812,0.3547671840354767,1,0,587,0,3.0
C000095,1,302.0,2.0,651.95,325.975,5.0,0.0,2.0,2.0,2.0,122.0,0.39473684210526316,6.0,17.0,2.8333333333333335,0.0,0.0,0.37530983847283406,0.024603312917482065,0.0,0,1,95,0,1.0
C000096,1,163.0,1.0,23.83,23.83,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,18.0,6.0,1.0,0.3333333333333333,0.25765491923641703,0.034188466817167903,0.0,0,0,239,0,2.0
C000097,0,23.0,7.0,1115.53,159.36142857142858,11.0,21.428571428571427,7.0,4.0,6.0,600.0,0.3333333333333333,2.0,3.0,1.5,0.0,0.0,0.2712511013215859,0.034329388956885525,0.5226480836236933,1,0,449,0,2.0
C000098,0,12.0,38.0,2058.7,54.176315789473676,58.0,14.473684210526315,38.0,5.0,21.0,718.0,1.5240641711229947,0.0,0.0,0.0,0.0,0.0,0.25022026431718064,0.11757519551598752,0.35301668806161746,1,0,238,1,1.0
C000099,0,0.0,2.0,84.56,42.28,2.0,0.0,2.0,2.0,2.0,460.0,0.12244897959183672,4.0,22.0,5.5,1.0,0.25,0.2966431718061674,0.0072225563572871476,0.0,1,0,297,0,3.0
C000100,1,528.0,1.0,21.2,21.2,1.0,10.0,1.0,1.0,1.0,0.0,1.0,5.0,27.0,5.4,0.0,0.0,0.3695215859030837,0.034149380259614656,0.24390243902439024,0,1,524,0,4.0
C000101,0,9.0,9.0,1518.3899999999999,168.70999999999998,12.0,7.222222222222222,9.0,5.0,7.0,720.0,0.36,3.0,4.0,1.3333333333333333,2.0,0.6666666666666666,0.16422760646108664,0.04313472318217958,0.1761517615176152,1,0,168,1,3.0
C000102,0,16.0,15.0,2908.45,193.89666666666665,19.0,8.666666666666666,15.0,5.0,11.0,627.0,0.6849315068493151,3.0,6.0,2.0,0.0,0.0,0.31082378854625553,0.0802971378772632,0.2113821138211382,1,0,171,0,5.0
C000103,0,37.0,68.0,8220.54,120.89029411764707,100.0,13.382352941176471,65.0,5.0,23.0,684.0,2.857142857142857,1.0,7.0,7.0,0.0,0.0,0.37086784140969165,0.2791744228894263,0.32639885222381637,1,0,623,2,1.0
C000104,1,190.0,4.0,344.67,86.1675,8.0,20.0,4.0,4.0,4.0,363.0,0.3053435114503817,3.0,11.0,3.6666666666666665,0.0,0.0,0.30961967694566817,0.019040551822588597,0.4878048780487805,0,1,583,0,1.0
C000105,0,47.0,23.0,3407.7599999999998,148.16347826086957,44.0,15.217391304347826,23.0,5.0,16.0,573.0,1.144278606965174,2.0,12.0,6.0,0.0,0.0,0.3283964757709251,0.11058050208125221,0.3711558854718982,1,0,40,2,4.0
C000106,0,44.0,5.0,1588.25,317.65,7.0,10.0,5.0,2.0,4.0,538.0,0.2640845070422535,3.0,13.0,4.333333333333333,1.0,0.3333333333333333,0.24960792951541852,0.03713736133413088,0.24390243902439024,1,0,509,0,4.0
C000107,0,27.0,32.0,4144.5199999999995,129.51624999999999,42.0,15.46875,32.0,5.0,17.0,694.0,1.3259668508287292,3.0,13.0,4.333333333333333,1.0,0.3333333333333333,0.28529074889867845,0.13623885252162848,0.37728658536585363,1,0,436,1,2.0
C000108,1,506.0,2.0,40.81,20.405,3.0,20.0,2.0,2.0,2.0,188.0,0.27522935779816515,2.0,8.0,4.0,2.0,1.0,0.0846431718061674,0.01159324041556396,0.4878048780487805,0,1,146,1,3.0
C000109,0,5.0,35.0,3682.11,105.20314285714286,48.0,11.714285714285714,34.0,5.0,18.0,710.0,1.4189189189189189,4.0,21.0,5.25,1.0,0.25,0.3382555066079296,0.13436307536749675,0.2857142857142857,1,0,623,2,1.0
C000110,0,1.0,13.0,2763.17,212.55153846153846,25.0,15.76923076923077,13.0,4.0,8.0,591.0,0.6280193236714976,4.0,12.0,3.0,0.0,0.0,0.3411806167400881,0.07432593680287256,0.38461538461538464,1,0,98,1,1.0
C000111,0,64.0,4.0,622.78,155.695,7.0,15.0,4.0,3.0,3.0,292.0,0.3726708074534162,2.0,11.0,5.5,0.0,0.0,0.2992863436123348,0.025386375802785976,0.36585365853658536,1,0,52,0,1.0
C000112,1,114.0,14.0,5841.69,417.2635714285714,24.0,9.285714285714286,14.0,5.0,10.0,596.0,0.6709265175718849,5.0,29.0,5.8,0.0,0.0,0.3899022026431718,0.12245926452127363,0.22648083623693382,0,0,509,1,1.0
