session_id,date,customer_id,channel,pages_viewed,cart_abandoned
S0000076,2024-07-28,C009716,Social,2,0
S0000077,2025-03-26,C005904,Direct,6,0
S0000078,2025-09-15,C011188,Direct,5,0
S0000079,2026-01-12,C003206,Organic Search,1,0
S0000080,2024-11-27,C014907,Social,3,1
S0000081,2025-03-27,C000535,Social,1,1
S0000082,2024-02-08,C015159,Organic Search,1,0
S0000083,2025-04-11,C009833,Organic Search,1,0
S0000084,2025-08-19,C000705,Email,4,0
S0000085,2024-03-23,C013112,Direct,11,0
S0000086,2024-06-29,C008733,Direct,2,1
S0000087,2024-11-26,C006436,Paid Search,12,0
S0000088,2025-01-11,C012031,Referral,7,1
S0000089,2024-11-02,C011864,Email,5,0
S0000090,2024-05-26,C007697,Organic Search,5,0
S0000091,2024-04-17,C000043,Direct,2,0
S0000092,2024-04-12,C009664,Organic Search,1,0
S0000093,2025-09-13,C000274,Organic Search,9,0
S0000094,2025-03-14,C000569,Direct,9,0
S0000095,2024-02-03,C008551,Referral,2,0
S0000096,2024-12-03,C006082,Direct,3,0
S0000097,2025-05-28,C005961,Email,4,1
S0000098,2024-02-23,C007639,Organic Search,1,0
S0000099,2025-11-06,C016518,Direct,3,0
S0000100,2024-03-03,C010400,Organic Search,3,0
S0000101,2025-07-30,C002445,Organic Search,3,0
S0000102,2025-04-26,C010164,Organic Search,5,0
S0000103,2025-02-06,C015069,Direct,20,0
S0000104,2024-06-15,C007182,Organic Search,1,0
S0000105,2024-05-09,C006897,Organic Search,4,0
S0000106,2025-01-07,C011014,Organic Search,1,0
S0000107,2025-06-09,C015114,Direct,3,0
S0000108,2024-10-02,C000499,Direct,7,1
S0000109,2024-08-24,C005186,Social,1,0
S0000110,2025-05-21,C004589,Direct,8,1
S0000111,2026-01-27,C012796,Organic Search,5,0
S0000112,2025-11-11,C011111,Direct,2,1
S0000113,2025-01-20,C005066,Organic Search,1,0
S0000114,2024-06-13,C011519,Organic Search,1,0
S0000115,2025-08-17,C003533,Email,4,1
S0000116,2025-06-19,C003989,Paid Search,5,0
S0000117,2025-09-06,C008949,Social,4,1
S0000118,2025-07-25,C010204,Paid Search,2,0
S0000119,2024-04-10,C010440,Direct,2,0
S0000120,2025-03-10,C002425,Organic Search,8,0
S0000121,2025-01-28,C017261,Paid Search,8,0
S0000122,2025-06-17,C008167,Social,2,0
S0000123,2025-04-13,C006674,Direct,3,0
S0000124,2024-06-28,C008626,Social,5,0
S0000125,2025-03-11,C006870,Direct,4,0
S0000126,2024-10-30,C003349,Email,2,0
S0000127,2024-04-30,C012128,Direct,3,0
S0000128,2024-03-30,C012572,Social,1,0
S0000129,2024-11-03,C006558,Organic Search,4,0
S0000130,2024-07-21,C009194,Direct,10,0
S0000131,2024-09-22,C013318,Referral,3,0
S0000132,2024-03-11,C013347,Referral,3,0
S0000133,2025-05-26,C011186,Paid Search,1,0
S0000134,2025-02-07,C016515,Organic Search,3,0
S0000135,2025-04-02,C013281,Organic Search,1,0
S0000136,2025-08-23,C008121,Direct,6,1
S0000137,2024-04-11,C006786,Organic Search,1,0
S0000138,2025-03-04,C017167,Organic Search,1,1
S0000139,2025-05-03,C000813,Email,2,1
S0000140,2025-01-20,C001499,Paid Search,7,0
S0000141,2024-10-18,C012823,Social,3,1
S0000142,2024-04-23,C009745,Paid Search,1,0
S0000143,2024-10-08,C017329,Social,4,0
S0000144,2025-06-23,C005684,Social,3,0
S0000145,2024-10-11,C007058,Email,3,0
S0000146,2024-09-25,C015859,Referral,4,0
S0000147,2026-01-01,C015419,Direct,4,0
S0000148,2025-04-15,C004849,Organic Search,3,0
S0000149,2024-12-28,C011767,Social,6,0
S0000150,2025-04-22,C005181,Direct,1,0
S0000151,2025-05-31,C010712,Direct,8,1
S0000152,2025-07-07,C000784,Direct,7,0
S0000153,2025-12-22,C010844,Organic Search,12,0
S0000154,2024-10-10,C008723,Direct,8,0
S0000155,2024-05-27,C014082,Social,1,0
S0000156,2025-07-25,C017187,Organic Search,1,0
S0000157,2025-02-14,C014646,Paid Search,2,1
S0000158,2025-06-17,C006544,Organic Search,4,0
S0000159,2025-04-30,C006213,Organic Search,4,0
S0000160,2024-08-19,C003023,Paid Search,3,0
S0000161,2025-09-09,C000757,Direct,10,0
S0000162,2025-06-04,C008654,Organic Search,6,0
S0000163,2024-11-26,C017631,Direct,1,0
S0000164,2025-09-22,C001979,Paid Search,2,1
S0000165,2025-11-27,C003206,Email,1,0
S0000166,2025-03-20,C003064,Email,4,0
S0000167,2024-02-01,C015004,Direct,4,0
S0000168,2024-04-10,C012321,Direct,1,0
S0000169,2025-05-06,C001620,Paid Search,5,0
S0000170,2025-01-06,C004893,Social,6,0
S0000171,2025-10-28,C013847,Direct,3,0
S0000172,2025-06-26,C008760,Paid Search,10,0
S0000173,2024-11-03,C008465,Paid Search,1,0
S0000174,2025-10-18,C006235,Paid Search,3,0
S0000175,2024-03-24,C016712,Paid Search,1,0
S0000176,2025-11-24,C001055,Direct,1,1
S0000177,2024-06-11,C009908,Social,1,0
S0000178,2024-11-28,C007993,Organic Search,2,0
S0000179,2024-12-17,C009841,Organic Search,3,0
S0000180,2024-09-10,C008679,Paid Search,2,0
S0000181,2025-09-15,C017022,Direct,1,0
S0000182,2026-01-30,C016469,Direct,3,0
S0000183,2024-09-01,C015238,Referral,3,0
S0000184,2025-03-13,C004022,Organic Search,6,1
S0000185,2025-09-06,C013810,Referral,3,0
S0000186,2024-11-18,C006361,Social,1,1
S0000187,2024-03-01,C009033,Organic Search,3,0
S0000188,2024-09-04,C013695,Direct,10,0
S0000189,2024-09-01,C013661,Email,5,0
S0000190,2024-11-14,C016251,Social,5,0
S0000191,2025-04-08,C017150,Paid Search,3,0
S0000192,2024-03-01,C016286,Organic Search,2,0
S0000193,2024-02-03,C003335,Paid Search,12,0
S0000194,2025-04-03,C017636,Referral,2,1
S0000195,2026-01-30,C016566,Organic Search,1,1
S0000196,2025-05-12,C012434,Social,3,0
S0000197,2024-12-10,C014122,Direct,1,0
S0000198,2025-10-01,C014150,Organic Search,6,0
S0000199,2024-12-15,C016440,Organic Search,3,0
S0000200,2025-02-04,C001385,Organic Search,2,0
S0000201,2025-10-13,C002124,Direct,6,1
S0000202,2024-04-09,C016232,Email,6,0
S0000203,2025-01-18,C000046,Organic Search,13,0
S0000204,2025-11-22,C008681,Organic Search,2,0
S0000205,2024-12-30,C013791,Referral,5,0
S0000206,2025-06-17,C015058,Paid Search,2,0
S0000207,2024-05-12,C003078,Organic Search,8,1
S0000208,2024-05-15,C010366,Paid Search,12,0
S0000209,2025-11-20,C003602,Paid Search,3,0
S0000210,2024-07-10,C005631,Organic Search,6,1
S0000211,2024-03-14,C012348,Organic Search,3,0
S0000212,2025-07-19,C014473,Paid Search,5,1
S0000213,2024-08-10,C010786,Direct,5,1
S0000214,2025-07-08,C004681,Social,2,0
S0000215,2025-11-29,C004934,Organic Search,3,0
S0000216,2025-09-02,C014559,Organic Search,1,0
S0000217,2025-11-25,C003024,Social,2,0
S0000218,2024-04-02,C015128,Referral,10,0
S0000219,2024-10-26,C009305,Email,5,1
S0000220,2025-06-07,C003119,Organic Search,5,0
S0000221,2024-02-21,C002024,Social,6,1
S0000222,2025-08-11,C004942,Organic Search,14,0
S0000223,2024-07-14,C015025,Direct,5,0
S0000224,2025-03-18,C013369,Organic Search,2,0
S0000225,2024-07-19,C014148,Email,9,0
S0000226,2024-05-31,C016138,Email,2,0
S0000227,2024-08-30,C012250,Organic Search,6,0
S0000228,2025-02-12,C011250,Social,6,0
S0000229,2025-02-26,C013118,Direct,2,0
S0000230,2025-03-24,C002149,Direct,6,0
S0000231,2025-07-31,C009227,Social,7,0
S0000232,2025-05-14,C012850,Direct,6,0
S0000233,2025-09-13,C003021,Organic Search,1,1
S0000234,2025-09-15,C003710,Paid Search,3,0
S0000235,2026-01-16,C009496,Email,2,1
S0000236,2025-06-03,C012237,Social,8,0
S0000237,2024-10-21,C010669,Paid Search,1,0
S0000238,2025-12-24,C002875,Paid Search,2,0
S0000239,2025-03-13,C013715,Social,8,1
S0000240,2024-12-30,C015528,Referral,4,0
S0000241,2025-06-22,C003543,Direct,6,0
S0000242,2024-02-08,C001895,Organic Search,4,0
S0000243,2024-10-18,C011598,Organic Search,5,0
S0000244,2024-05-22,C017983,Email,5,0
S0000245,2024-04-06,C003426,Paid Search,3,0
S0000246,2024-09-14,C006088,Direct,2,0
S0000247,2024-10-29,C011851,Email,1,1
S0000248,2024-12-12,C015551,Direct,1,0
S0000249,2025-08-03,C004842,Direct,2,0
S0000250,2025-07-13,C017493,Organic Search,7,0
S0000251,2026-01-30,C008754,Organic Search,1,0
S0000252,2025-10-10,C008052,Organic Search,3,0
S0000253,2025-04-08,C016849,Paid Search,6,0
S0000254,2024-10-24,C005632,Organic Search,1,0
S0000255,2024-04-20,C011745,Social,9,0
S0000256,2024-12-29,C013003,Direct,5,0
S0000257,2025-09-13,C008364,Direct,12,0
S0000258,2025-07-15,C012881,Organic Search,7,0
S0000259,2024-05-03,C016778,Referral,6,0
S0000260,2024-04-14,C012905,Organic Search,6,0
S0000261,2024-07-15,C004209,Direct,4,0
S0000262,2024-05-23,C013748,Email,9,0
S0000263,2025-02-21,C010475,Organic Search,11,0
S0000264,2025-12-12,C006721,Email,4,1
S0000265,2025-04-07,C014664,Organic Search,17,0
S0000266,2024-08-24,C008065,Direct,1,0
S0000267,2024-11-05,C015199,Paid Search,13,0
S0000268,2024-06-22,C013792,Direct,1,0
S0000269,2025-07-26,C005095,Organic Search,3,1
S0000270,2024-03-24,C008503,Direct,5,0
S0000271,2025-12-06,C009595,Paid Search,10,1
S0000272,2024-10-07,C003496,Organic Search,1,1
S0000273,2024-05-28,C005703,Social,4,0
S0000274,2025-06-08,C003249,Organic Search,5,0
S0000275,2025-09-02,C016803,Social,4,0
S0000276,2024-06-29,C014169,Social,13,1
S0000277,2024-08-12,C008739,Social,1,0
S0000278,2024-03-01,C011303,Email,10,0
S0000279,2026-01-31,C015164,Organic Search,9,0
S0000280,2024-06-07,C000653,Referral,8,1
S0000281,2025-04-07,C013189,Referral,4,1
S0000282,2025-01-16,C010974,Direct,7,1
S0000283,2025-07-05,C017798,Organic Search,6,0
S0000284,2024-02-04,C010568,Paid Search,1,1
S0000285,2025-05-04,C003723,Organic Search,13,0
S0000286,2024-05-17,C003380,Referral,7,0
S0000287,2025-06-13,C007503,Social,4,0
S0000288,2024-07-01,C002172,Organic Search,2,0
S0000289,2025-03-06,C010045,Social,13,1
S0000290,2025-06-26,C016025,Direct,4,1
S0000291,2024-04-12,C009094,Email,2,0
S0000292,2024-02-20,C017525,Social,5,0
S0000293,2025-02-08,C008225,Organic Search,2,0
S0000294,2024-09-02,C003856,Organic Search,7,0
S0000295,2025-11-02,C013478,Organic Search,2,1
S0000296,2025-10-17,C003185,Direct,7,0
S0000297,2025-10-11,C009050,Paid Search,6,0
S0000298,2025-02-27,C011987,Paid Search,4,0
S0000299,2025-01-09,C014104,Organic Search,3,0
S0000300,2024-12-11,C013011,Social,1,0
S0000301,2025-04-14,C008523,Direct,6,0
S0000302,2024-09-24,C000726,Email,7,0
S0000303,2025-01-30,C014148,Paid Search,8,0
S0000304,2025-01-24,C005860,Referral,3,0
S0000305,2024-09-09,C001880,Social,14,0
S0000306,2024-09-29,C005082,Organic Search,12,0
S0000307,2026-01-19,C013224,Social,1,0
S0000308,2024-03-29,C012710,Direct,4,0
S0000309,2025-07-01,C017199,Social,7,0
S0000310,2024-12-01,C005259,Organic Search,7,0
S0000311,2025-01-20,C002796,Referral,3,1
S0000312,2024-09-21,C002473,Organic Search,1,0
S0000313,2025-10-21,C000140,Email,1,0
S0000314,2025-04-23,C009713,Direct,2,1
S0000315,2024-04-23,C012303,Referral,2,0
S0000316,2024-10-20,C010338,Direct,1,0
S0000317,2025-01-04,C008566,Email,3,0
S0000318,2025-06-02,C012668,Paid Search,5,1
S0000319,2025-09-27,C002126,Direct,5,0
S0000320,2026-01-26,C015224,Paid Search,2,0
S0000321,2025-12-07,C012893,Organic Search,3,0
S0000322,2025-06-07,C004791,Organic Search,1,0
S0000323,2025-11-22,C011324,Referral,5,0
S0000324,2024-09-22,C013773,Organic Search,6,1
S0000325,2025-05-02,C009722,Direct,7,0
S0000326,2024-03-26,C011036,Direct,6,0
S0000327,2025-10-24,C014130,Referral,12,0
S0000328,2024-10-19,C015545,Organic Search,3,0
S0000329,2024-03-29,C001231,Direct,10,0
S0000330,2024-07-26,C004480,Direct,2,0
S0000331,2026-01-12,C015716,Organic Search,3,0
S0000332,2025-03-21,C001219,Paid Search,1,1
S0000333,2025-10-26,C009701,Email,11,0
S0000334,2025-03-21,C016309,Organic Search,1,0
S0000335,2024-02-03,C006786,Organic Search,5,0
S0000336,2025-12-14,C009290,Organic Search,3,0
S0000337,2025-05-21,C007122,Paid Search,12,0
S0000338,2025-07-22,C004085,Social,7,1
S0000339,2024-09-08,C014255,Organic Search,10,0
S0000340,2024-04-29,C015398,Paid Search,4,1
S0000341,2025-11-19,C000009,Organic Search,5,0
S0000342,2024-11-25,C013611,Organic Search,1,0
S0000343,2025-01-30,C007006,Organic Search,5,0
S0000344,2025-08-26,C016941,Paid Search,11,1
S0000345,2024-02-18,C016390,Organic Search,6,1
S0000346,2024-08-03,C001838,Social,6,0
S0000347,2024-04-13,C005856,Organic Search,1,0
S0000348,2024-04-29,C001499,Social,12,0
S0000349,2025-12-09,C014197,Organic Search,3,1
S0000350,2024-08-10,C011732,Paid Search,11,1
S0000351,2025-03-18,C003839,Direct,2,1
S0000352,2025-07-25,C016813,Direct,4,0
S0000353,2024-04-08,C003761,Social,4,1
S0000354,2024-07-03,C002636,Direct,2,0
S0000355,2025-05-28,C001619,Email,2,0
S0000356,2025-05-09,C008620,Organic Search,1,0
S0000357,2024-05-07,C015954,Referral,6,0
S0000358,2024-06-23,C009734,Direct,2,1
S0000359,2025-07-28,C016784,Paid Search,5,0
S0000360,2025-04-29,C007024,Direct,1,0
S0000361,2025-11-12,C011300,Referral,5,0
S0000362,2025-01-17,C014157,Organic Search,4,0
S0000363,2025-09-24,C010262,Social,1,0
S0000364,2025-06-18,C013299,Direct,5,0
S0000365,2024-08-24,C008661,Organic Search,5,0
S0000366,2025-06-25,C008588,Paid Search,2,0
S0000367,2024-03-11,C012666,Direct,4,0
S0000368,2024-10-16,C010446,Social,2,0
S0000369,2025-02-21,C003696,Organic Search,6,0
S0000370,2024-03-23,C007159,Direct,3,0
S0000371,2025-11-27,C015359,Organic Search,11,0
S0000372,2024-11-05,C016444,Organic Search,5,0
S0000373,2024-08-11,C017219,Paid Search,3,1
S0000374,2025-07-20,C008474,Email,5,1
S0000375,2024-12-18,C016620,Organic Search,9,0
S0000376,2025-11-21,C004715,Organic Search,3,0
S0000377,2025-04-13,C005712,Direct,6,0
S0000378,2026-01-03,C006356,Social,12,1
S0000379,2025-07-31,C015735,Paid Search,8,0
S0000380,2025-07-30,C002047,Organic Search,10,0
S0000381,2024-03-13,C009241,Organic Search,12,1
S0000382,2025-10-01,C007192,Organic Search,3,0
S0000383,2024-06-06,C003790,Organic Search,4,0
S0000384,2024-03-09,C007542,Social,10,0
S0000385,2025-05-16,C010177,Paid Search,2,0
S0000386,2025-08-16,C003588,Direct,6,1
S0000387,2024-09-19,C007134,Organic Search,1,0
S0000388,2025-04-01,C012335,Direct,1,0
S0000389,2024-12-24,C007764,Paid Search,7,0
S0000390,2024-09-27,C013008,Organic Search,3,0
S0000391,2024-09-02,C006974,Organic Search,5,0
S0000392,2025-03-04,C000502,Organic Search,6,0
S0000393,2024-12-19,C007280,Email,3,0
S0000394,2024-11-24,C017407,Paid Search,2,0
S0000395,2024-07-21,C006664,Organic Search,4,0
S0000396,2025-12-17,C016389,Organic Search,4,0
S0000397,2024-06-25,C011519,Social,9,0
S0000398,2025-05-06,C006326,Direct,14,0
S0000399,2025-01-31,C004180,Direct,1,0
S0000400,2025-07-07,C004795,Paid Search,1,0
S0000401,2025-11-07,C016755,Organic Search,1,0
S0000402,2024-06-03,C005198,Direct,4,0
S0000403,2024-03-11,C006624,Email,4,0
S0000404,2024-09-26,C004882,Social,1,0
S0000405,2024-03-12,C016839,Organic Search,3,0
S0000406,2024-08-01,C007741,Direct,6,1
S0000407,2025-12-04,C004535,Direct,1,1
S0000408,2025-05-17,C008961,Direct,3,1
S0000409,2025-10-27,C007600,Paid Search,6,0
S0000410,2025-09-13,C001512,Direct,1,0
S0000411,2025-02-04,C009576,Email,2,1
S0000412,2024-05-12,C006206,Direct,2,0
S0000413,2024-08-05,C005165,Referral,4,0
S0000414,2024-12-02,C017806,Email,5,1
S0000415,2024-11-04,C002169,Direct,17,0
S0000416,2024-05-05,C003174,Social,6,0
S0000417,2024-06-12,C001747,Email,2,0
S0000418,2025-01-19,C000791,Direct,7,0
S0000419,2024-08-15,C005940,Organic Search,5,1
S0000420,2024-05-08,C011749,Direct,4,0
S0000421,2025-02-10,C009943,Social,1,0
S0000422,2025-02-19,C009770,Social,5,1
S0000423,2025-10-03,C011259,Social,1,0
S0000424,2025-08-23,C009389,Organic Search,1,1
S0000425,2025-03-22,C013811,Referral,3,0
S0000426,2025-03-13,C003601,Paid Search,1,0
S0000427,2026-01-09,C005049,Referral,2,0
S0000428,2024-07-16,C002471,Social,4,0
S0000429,2024-10-28,C013176,Organic Search,6,0
S0000430,2025-02-15,C003709,Direct,6,0
S0000431,2026-01-27,C007036,Paid Search,14,0
S0000432,2025-08-05,C017059,Organic Search,6,0
S0000433,2024-07-20,C004883,Direct,10,0
S0000434,2024-05-15,C015802,Email,1,0
S0000435,2025-07-12,C014427,Organic Search,4,0
S0000436,2024-03-10,C004057,Email,22,0
S0000437,2026-01-13,C008256,Direct,1,0
S0000438,2025-06-14,C009457,Organic Search,4,1
S0000439,2024-03-14,C004589,Organic Search,4,0
S0000440,2025-01-25,C001320,Direct,1,0
S0000441,2024-02-24,C001084,Organic Search,7,0
S0000442,2025-05-04,C017644,Social,8,0
S0000443,2024-03-28,C012666,Direct,6,0
S0000444,2024-04-28,C002666,Social,3,0
S0000445,2024-11-05,C012376,Social,8,0
S0000446,2024-07-02,C003513,Direct,1,1
S0000447,2024-04-11,C016195,Social,2,0
S0000448,2024-09-12,C017281,Organic Search,7,0
S0000449,2025-04-13,C012480,Organic Search,3,0
S0000450,2024-12-26,C006362,Organic Search,6,0
S0000451,2024-07-10,C012062,Referral,4,0
S0000452,2024-10-02,C007117,Direct,1,0
S0000453,2026-01-02,C015679,Organic Search,7,0
S0000454,2025-02-13,C005482,Organic Search,3,0
S0000455,2025-03-23,C012809,Email,2,0
S0000456,2025-04-16,C006470,Organic Search,2,0
S0000457,2025-07-28,C004974,Referral,3,0
S0000458,2025-05-27,C014902,Direct,2,0
S0000459,2025-11-12,C011682,Referral,16,1
S0000460,2025-05-23,C011721,Organic Search,1,0
S0000461,2025-05-10,C010944,Organic Search,11,0
S0000462,2025-10-23,C014091,Social,1,1
S0000463,2025-06-10,C003388,Email,1,0
S0000464,2026-01-03,C017585,Paid Search,4,0
S0000465,2025-02-16,C003389,Paid Search,4,0
S0000466,2025-09-04,C004614,Organic Search,12,0
S0000467,2024-09-05,C007733,Direct,5,1
S0000468,2024-10-12,C011145,Organic Search,8,0
S0000469,2025-09-12,C000411,Social,3,0
S0000470,2025-02-11,C006538,Direct,1,1
S0000471,2025-10-28,C009716,Organic Search,3,0
S0000472,2024-07-11,C009380,Email,6,0
S0000473,2024-05-11,C010518,Organic Search,1,0
S0000474,2025-10-23,C012115,Direct,2,1
S0000475,2025-03-14,C010841,Direct,3,0
S0000476,2024-10-09,C013138,Organic Search,8,0
S0000477,2024-10-05,C010987,Paid Search,6,0
S0000478,2024-07-09,C002684,Organic Search,4,0
S0000479,2024-11-16,C007690,Organic Search,4,0
S0000480,2025-10-30,C017595,Organic Search,7,1
S0000481,2026-01-12,C010141,Direct,9,0
S0000482,2024-10-15,C012591,Direct,2,0
S0000483,2025-06-01,C012118,Organic Search,2,0
S0000484,2025-09-15,C015600,Referral,3,1
S0000485,2024-02-15,C014300,Social,5,0
S0000486,2025-08-22,C017229,Direct,7,0
S0000487,2025-04-30,C002709,Email,1,0
S0000488,2025-10-12,C005196,Email,2,0
S0000489,2025-12-13,C010874,Paid Search,1,0
S0000490,2025-08-12,C007881,Email,8,1
S0000491,2024-10-05,C009408,Organic Search,4,0
S0000492,2025-11-11,C009718,Email,7,0
S0000493,2024-10-06,C008854,Organic Search,6,0
S0000494,2024-06-19,C010760,Organic Search,1,0
S0000495,2024-12-07,C004277,Direct,1,0
S0000496,2024-04-13,C011555,Paid Search,6,1
S0000497,2025-10-09,C009451,Email,2,0
S0000498,2025-04-11,C008096,Social,1,0
S0000499,2025-02-15,C011098,Referral,12,0
S0000500,2025-01-19,C009052,Direct,1,0
S0000501,2024-04-22,C005472,Direct,2,0
S0000502,2024-06-30,C003375,Direct,4,0
S0000503,2026-01-26,C015155,Direct,3,0
S0000504,2025-07-12,C010847,Organic Search,4,1
S0000505,2025-06-07,C013101,Direct,2,0
S0000506,2024-02-17,C009177,Paid Search,13,0
S0000507,2024-06-19,C006577,Referral,1,1
S0000508,2025-11-10,C005408,Email,6,1
S0000509,2024-03-01,C005353,Direct,5,0
S0000510,2024-02-08,C009430,Organic Search,6,0
S0000511,2024-10-26,C007357,Direct,3,0
S0000512,2024-11-03,C006998,Paid Search,4,0
S0000513,2025-09-23,C003796,Direct,3,1
S0000514,2025-06-01,C015494,Paid Search,4,0
S0000515,2024-05-13,C007688,Organic Search,3,0
S0000516,2025-11-12,C008729,Paid Search,2,0
S0000517,2024-09-27,C000760,Social,3,0
S0000518,2024-03-12,C000530,Social,13,0
S0000519,2025-01-29,C003856,Social,3,0
S0000520,2025-05-16,C017147,Referral,4,0
S0000521,2025-06-05,C006448,Paid Search,7,0
S0000522,2024-09-16,C013881,Email,1,1
S0000523,2025-07-31,C001225,Direct,4,1
S0000524,2024-04-23,C014530,Organic Search,13,0
S0000525,2024-12-04,C014701,Direct,9,1
S0000526,2024-05-12,C002180,Social,1,0
S0000527,2025-01-03,C012062,Social,2,1
S0000528,2025-01-13,C000444,Social,1,1
S0000529,2025-09-12,C002308,Paid Search,2,0
S0000530,2025-04-24,C000829,Organic Search,3,0
S0000531,2024-11-16,C006949,Direct,8,0
S0000532,2024-06-07,C013389,Organic Search,3,0
S0000533,2025-04-25,C013904,Organic Search,1,0
S0000534,2024-04-16,C005487,Email,2,0
S0000535,2024-08-27,C011390,Email,2,0
S0000536,2025-01-05,C009331,Organic Search,8,1
S0000537,2024-07-25,C003441,Direct,10,0
S0000538,2025-01-03,C008384,Social,2,0
S0000539,2026-01-15,C003594,Email,4,0
S0000540,2025-09-09,C006752,Direct,3,0
S0000541,2025-11-22,C005062,Direct,3,1
S0000542,2025-11-17,C004236,Referral,15,0
S0000543,2025-06-11,C009816,Organic Search,8,0
S0000544,2025-09-09,C002608,Social,6,0
S0000545,2025-10-21,C015577,Social,4,0
S0000546,2024-02-10,C000814,Organic Search,4,0
S0000547,2024-11-16,C011179,Email,11,0
S0000548,2025-05-19,C003935,Direct,1,1
S0000549,2024-02-06,C008498,Referral,3,0
S0000550,2024-04-04,C011587,Organic Search,9,0
S0000551,2024-07-18,C012513,Email,5,1
S0000552,2024-08-05,C008518,Paid Search,6,0
S0000553,2025-10-28,C016650,Social,7,0
S0000554,2024-02-17,C017453,Direct,1,0
S0000555,2024-10-26,C000908,Social,4,0
S0000556,2025-10-31,C004264,Direct,6,0
S0000557,2024-07-01,C011490,Direct,3,0
S0000558,2025-05-12,C015548,Organic Search,1,0
S0000559,2024-06-08,C010987,Email,7,1
S0000560,2025-06-16,C002732,Organic Search,1,0
S0000561,2024-04-27,C014940,Organic Search,1,0
S0000562,2024-07-15,C009125,Direct,8,0
S0000563,2025-01-02,C001594,Paid Search,6,0
S0000564,2025-02-16,C004924,Referral,1,0
S0000565,2024-12-22,C003138,Organic Search,13,1
S0000566,2024-03-20,C003749,Social,1,0
