customer_id,signup_date,age_band,island,loyalty_tier,churn_flag
C000043,2024-08-04,45-54,Trinidad,Gold,0
C000044,2024-11-24,45-54,Trinidad,Bronze,1
C000045,2024-06-14,25-34,Barbados,Silver,0
C000046,2024-10-25,65+,Trinidad,Bronze,0
C000047,2025-03-21,45-54,Trinidad,Silver,0
C000048,2025-07-20,55-64,Jamaica,Bronze,0
C000049,2024-06-24,35-44,Trinidad,Bronze,0
C000050,2025-10-10,35-44,Jamaica,Silver,0
C000051,2024-09-06,35-44,Trinidad,Gold,0
C000052,2025-03-26,35-44,Tobago,Bronze,1
C000053,2025-08-08,35-44,Trinidad,Bronze,0
C000054,2024-10-19,25-34,Trinidad,Bronze,1
C000055,2025-08-03,35-44,Trinidad,Bronze,0
C000056,2025-08-17,25-34,Trinidad,Bronze,0
C000057,2024-10-02,55-64,Trinidad,Bronze,0
C000058,2025-06-15,18-24,Barbados,Bronze,0
C000059,2024-08-14,45-54,Jamaica,Silver,0
C000060,2024-08-27,35-44,Jamaica,Bronze,1
C000061,2024-05-03,45-54,Barbados,Bronze,0
C000062,2024-11-24,25-34,Trinidad,Bronze,0
C000063,2025-07-10,55-64,Jamaica,Bronze,1
C000064,2024-12-03,55-64,Jamaica,Silver,1
C000065,2024-03-20,55-64,Tobago,Silver,0
C000066,2024-06-13,35-44,Trinidad,Silver,0
C000067,2024-04-14,25-34,Jamaica,Gold,0
C000068,2025-09-12,18-24,Trinidad,Silver,0
C000069,2024-02-11,25-34,Tobago,Platinum,0
C000070,2025-09-10,45-54,Barbados,Bronze,0
C000071,2025-04-21,35-44,Trinidad,Silver,0
C000072,2025-01-21,25-34,Trinidad,Silver,1
C000073,2024-12-07,25-34,Trinidad,Bronze,0
C000074,2024-11-09,65+,Jamaica,Silver,0
C000075,2025-03-05,65+,Jamaica,Silver,0
C000076,2024-09-15,35-44,Jamaica,Platinum,0
C000077,2025-11-14,35-44,Jamaica,Bronze,0
C000078,2025-09-20,55-64,Barbados,Bronze,1
C000079,2024-12-17,35-44,Barbados,Silver,0
C000080,2025-08-22,35-44,Trinidad,Bronze,1
C000081,2025-08-07,18-24,Trinidad,Silver,0
C000082,2025-01-10,35-44,Trinidad,Bronze,0
C000083,2025-07-28,25-34,Trinidad,Silver,0
C000084,2025-04-24,35-44,Trinidad,Bronze,0
C000085,2024-03-15,35-44,Jamaica,Gold,0
C000086,2025-11-05,45-54,Trinidad,Silver,0
C000087,2025-08-05,35-44,Trinidad,Silver,0
C000088,2025-09-26,25-34,Barbados,Gold,0
C000089,2024-03-18,35-44,Trinidad,Bronze,0
C000090,2024-07-18,25-34,Jamaica,Bronze,0
C000091,2024-02-21,45-54,Trinidad,Silver,1
C000092,2024-09-22,25-34,Trinidad,Silver,0
C000093,2024-02-22,25-34,Jamaica,Bronze,0
C000094,2024-06-23,45-54,Jamaica,Bronze,0
C000095,2025-10-28,25-34,Barbados,Bronze,1
C000096,2025-06-06,35-44,Tobago,Bronze,1
C000097,2024-11-08,35-44,Jamaica,Bronze,0
C000098,2025-06-07,25-34,Tobago,Silver,0
C000099,2025-04-09,45-54,Trinidad,Bronze,0
C000100,2024-08-25,55-64,Jamaica,Bronze,1
C000101,2025-08-16,45-54,Barbados,Silver,0
C000102,2025-08-13,65+,Trinidad,Bronze,0
C000103,2024-05-18,25-34,Jamaica,Gold,0
C000104,2024-06-27,25-34,Jamaica,Bronze,1
C000105,2025-12-22,55-64,Trinidad,Gold,0
C000106,2024-09-09,55-64,Trinidad,Bronze,0
C000107,2024-11-21,35-44,Trinidad,Silver,0
C000108,2025-09-07,45-54,Trinidad,Silver,1
C000109,2024-05-18,25-34,Jamaica,Gold,0
C000110,2025-10-25,25-34,Trinidad,Silver,0
C000111,2025-12-10,25-34,Trinidad,Bronze,0
C000112,2024-09-09,25-34,Barbados,Silver,1
C000113,2025-01-01,18-24,Jamaica,Silver,1
C000114,2024-10-10,45-54,Barbados,Platinum,0
C000115,2025-12-05,45-54,Jamaica,Bronze,0
C000116,2025-10-27,45-54,Trinidad,Bronze,0
C000117,2024-03-28,18-24,Trinidad,Silver,0
C000118,2025-07-14,25-34,Trinidad,Gold,0
C000119,2024-08-18,25-34,Barbados,Bronze,1
C000120,2025-05-03,18-24,Tobago,Silver,0
C000121,2024-08-18,35-44,Jamaica,Silver,1
C000122,2025-03-31,25-34,Jamaica,Silver,0
C000123,2025-08-22,45-54,Trinidad,Bronze,1
C000124,2025-06-16,35-44,Trinidad,Bronze,0
C000125,2024-03-10,65+,Trinidad,Silver,0
C000126,2025-09-27,55-64,Tobago,Silver,1
C000127,2025-10-10,18-24,Jamaica,Silver,0
C000128,2025-06-04,35-44,Trinidad,Silver,0
C000129,2024-07-16,25-34,Trinidad,Bronze,1
C000130,2024-01-01,45-54,Trinidad,Bronze,0
C000131,2024-10-25,35-44,Trinidad,Bronze,0
C000132,2024-05-14,25-34,Trinidad,Silver,0
C000133,2025-10-02,55-64,Jamaica,Gold,0
C000134,2024-10-11,25-34,Barbados,Bronze,1
C000135,2025-01-29,35-44,Trinidad,Bronze,1
C000136,2025-02-01,18-24,Jamaica,Silver,1
C000137,2024-02-18,45-54,Jamaica,Silver,1
C000138,2025-01-29,35-44,Trinidad,Bronze,0
C000139,2025-07-07,45-54,Trinidad,Silver,1
C000140,2025-08-01,35-44,Trinidad,Silver,1
C000141,2025-04-28,55-64,Jamaica,Bronze,1
C000142,2024-02-26,25-34,Trinidad,Silver,0
C000143,2025-08-16,45-54,Tobago,Bronze,0
C000144,2024-09-16,45-54,Tobago,Gold,0
C000145,2024-11-11,18-24,Jamaica,Silver,0
C000146,2025-05-08,55-64,Trinidad,Bronze,0
C000147,2025-07-26,35-44,Barbados,Silver,1
C000148,2025-05-24,18-24,Tobago,Silver,0
C000149,2024-07-24,25-34,Trinidad,Silver,0
C000150,2024-08-22,55-64,Jamaica,Platinum,0
C000151,2024-08-23,25-34,Tobago,Bronze,0
C000152,2024-01-14,35-44,Jamaica,Gold,1
C000153,2024-01-07,45-54,Barbados,Bronze,1
C000154,2025-03-14,25-34,Barbados,Bronze,0
C000155,2024-02-07,18-24,Trinidad,Platinum,0
C000156,2024-04-26,45-54,Trinidad,Bronze,0
C000157,2024-01-09,65+,Trinidad,Silver,0
C000158,2024-11-12,25-34,Tobago,Gold,0
C000159,2024-03-27,35-44,Barbados,Silver,0
C000160,2025-03-08,55-64,Trinidad,Bronze,0
C000161,2025-05-04,25-34,Tobago,Bronze,0
C000162,2024-01-11,25-34,Jamaica,Bronze,0
C000163,2024-03-02,55-64,Jamaica,Bronze,0
C000164,2025-01-26,25-34,Barbados,Bronze,1
C000165,2025-08-01,25-34,Trinidad,Silver,1
C000166,2024-05-11,45-54,Trinidad,Bronze,0
C000167,2024-05-18,35-44,Trinidad,Bronze,0
C000168,2024-12-24,65+,Barbados,Bronze,1
C000169,2024-07-04,18-24,Trinidad,Bronze,0
C000170,2025-12-16,45-54,Jamaica,Bronze,1
C000171,2024-03-11,55-64,Trinidad,Bronze,0
C000172,2025-03-21,25-34,Jamaica,Silver,0
C000173,2024-04-12,35-44,Trinidad,Silver,0
C000174,2025-09-14,25-34,Tobago,Silver,0
C000175,2025-04-22,18-24,Trinidad,Bronze,0
C000176,2024-06-28,35-44,Jamaica,Bronze,1
C000177,2025-07-13,25-34,Trinidad,Bronze,1
C000178,2024-02-25,45-54,Trinidad,Silver,0
C000179,2025-09-28,35-44,Barbados,Platinum,0
C000180,2025-07-05,45-54,Barbados,Bronze,0
C000181,2025-02-03,55-64,Trinidad,Bronze,0
C000182,2024-06-30,35-44,Jamaica,Bronze,0
C000183,2025-09-13,35-44,Tobago,Silver,0
C000184,2024-07-27,35-44,Trinidad,Bronze,0
C000185,2024-01-27,25-34,Barbados,Gold,0
C000186,2025-05-13,45-54,Jamaica,Bronze,0
C000187,2025-06-22,35-44,Trinidad,Silver,0
C000188,2024-10-11,35-44,Jamaica,Bronze,0
C000189,2025-09-07,25-34,Barbados,Silver,0
C000190,2024-12-05,25-34,Jamaica,Bronze,1
C000191,2024-08-17,55-64,Barbados,Silver,0
C000192,2025-04-06,35-44,Jamaica,Bronze,0
C000193,2024-03-27,35-44,Trinidad,Bronze,0
C000194,2025-12-27,18-24,Tobago,Bronze,0
C000195,2025-09-29,55-64,Barbados,Bronze,1
C000196,2024-05-02,25-34,Trinidad,Silver,1
C000197,2025-03-11,35-44,Tobago,Bronze,0
C000198,2024-02-11,35-44,Barbados,Bronze,0
C000199,2025-03-14,35-44,Tobago,Bronze,0
C000200,2025-05-30,18-24,Trinidad,Bronze,0
C000201,2025-04-30,55-64,Trinidad,Bronze,1
C000202,2025-08-18,18-24,Jamaica,Silver,0
C000203,2025-02-06,35-44,Tobago,Bronze,0
C000204,2025-03-26,35-44,Jamaica,Silver,0
C000205,2025-05-02,25-34,Barbados,Silver,0
C000206,2025-11-13,25-34,Tobago,Silver,0
C000207,2024-01-29,35-44,Barbados,Silver,0
C000208,2024-06-13,18-24,Jamaica,Gold,0
C000209,2025-03-30,18-24,Trinidad,Bronze,0
C000210,2025-03-01,25-34,Trinidad,Bronze,0
C000211,2025-03-09,45-54,Trinidad,Bronze,1
C000212,2024-04-28,35-44,Tobago,Silver,0
C000213,2024-05-06,55-64,Trinidad,Bronze,1
C000214,2025-03-08,25-34,Jamaica,Silver,1
C000215,2025-03-17,35-44,Jamaica,Bronze,0
C000216,2025-02-24,65+,Jamaica,Bronze,0
C000217,2025-03-20,65+,Trinidad,Bronze,1
C000218,2024-03-23,55-64,Barbados,Bronze,1
C000219,2024-01-16,25-34,Trinidad,Bronze,0
C000220,2024-10-23,35-44,Trinidad,Gold,0
C000221,2025-07-14,45-54,Barbados,Silver,0
C000222,2024-05-27,25-34,Trinidad,Bronze,0
C000223,2024-05-15,18-24,Barbados,Bronze,1
C000224,2024-05-08,45-54,Trinidad,Bronze,0
C000225,2025-03-16,35-44,Jamaica,Bronze,0
C000226,2025-03-15,45-54,Tobago,Silver,0
C000227,2025-05-11,18-24,Barbados,Bronze,0
C000228,2025-01-22,35-44,Jamaica,Bronze,0
C000229,2025-05-17,18-24,Trinidad,Bronze,0
C000230,2025-04-29,25-34,Jamaica,Bronze,0
C000231,2025-09-20,45-54,Trinidad,Bronze,0
C000232,2024-01-02,55-64,Trinidad,Gold,0
C000233,2024-04-19,55-64,Barbados,Bronze,0
C000234,2024-06-26,55-64,Trinidad,Bronze,0
C000235,2025-10-30,55-64,Jamaica,Gold,0
C000236,2024-03-31,25-34,Tobago,Platinum,0
C000237,2025-02-12,45-54,Trinidad,Platinum,0
C000238,2024-11-25,18-24,Jamaica,Bronze,0
C000239,2025-12-02,25-34,Tobago,Bronze,0
C000240,2025-08-05,25-34,Barbados,Bronze,0
C000241,2024-04-24,18-24,Trinidad,Bronze,0
C000242,2025-03-31,35-44,Jamaica,Gold,1
C000243,2025-11-11,25-34,Trinidad,Gold,0
C000244,2025-03-17,35-44,Barbados,Bronze,1
C000245,2025-02-04,35-44,Jamaica,Bronze,0
C000246,2024-03-28,25-34,Barbados,Bronze,0
C000247,2024-10-14,35-44,Trinidad,Silver,0
C000248,2025-06-22,18-24,Jamaica,Bronze,1
C000249,2025-04-02,18-24,Trinidad,Bronze,0
C000250,2025-04-26,45-54,Jamaica,Bronze,0
C000251,2025-04-22,18-24,Trinidad,Bronze,0
C000252,2025-04-27,45-54,Trinidad,Bronze,1
C000253,2025-12-01,25-34,Trinidad,Bronze,0
C000254,2025-01-28,25-34,Trinidad,Bronze,0
C000255,2024-07-24,35-44,Trinidad,Bronze,0
C000256,2025-01-31,35-44,Trinidad,Bronze,0
C000257,2024-01-22,35-44,Jamaica,Bronze,0
C000258,2025-01-03,25-34,Trinidad,Silver,0
C000259,2025-05-29,35-44,Trinidad,Bronze,1
C000260,2025-09-17,35-44,Trinidad,Silver,0
C000261,2024-09-20,35-44,Barbados,Bronze,0
C000262,2024-12-10,35-44,Tobago,Bronze,0
C000263,2025-02-27,35-44,Jamaica,Bronze,0
C000264,2025-04-30,35-44,Trinidad,Platinum,0
C000265,2024-07-29,35-44,Tobago,Bronze,0
C000266,2024-01-10,35-44,Trinidad,Platinum,0
C000267,2025-09-26,35-44,Jamaica,Silver,0
C000268,2024-07-09,18-24,Jamaica,Silver,0
C000269,2025-03-30,45-54,Barbados,Bronze,0
C000270,2025-11-13,25-34,Tobago,Gold,0
C000271,2024-04-06,65+,Trinidad,Bronze,0
C000272,2025-02-12,35-44,Trinidad,Bronze,0
C000273,2024-02-21,35-44,Trinidad,Bronze,0
C000274,2025-09-21,25-34,Trinidad,Silver,0
C000275,2024-02-17,35-44,Tobago,Silver,0
C000276,2024-03-01,45-54,Jamaica,Silver,0
C000277,2024-02-28,18-24,Jamaica,Silver,0
C000278,2025-01-23,45-54,Barbados,Bronze,0
C000279,2025-02-26,45-54,Jamaica,Silver,0
C000280,2024-09-18,25-34,Barbados,Gold,0
C000281,2025-02-13,25-34,Trinidad,Bronze,1
C000282,2025-02-28,55-64,Jamaica,Bronze,0
C000283,2024-12-31,35-44,Barbados,Gold,1
C000284,2025-07-13,35-44,Trinidad,Silver,0
C000285,2025-04-12,45-54,Barbados,Silver,1
C000286,2025-12-02,18-24,Jamaica,Silver,0
C000287,2025-04-20,25-34,Trinidad,Silver,0
C000288,2024-05-04,25-34,Trinidad,Bronze,0
C000289,2025-10-10,25-34,Trinidad,Gold,0
C000290,2025-06-10,45-54,Barbados,Bronze,1
C000291,2024-04-04,45-54,Trinidad,Gold,0
C000292,2025-06-07,65+,Barbados,Gold,0
C000293,2025-08-10,35-44,Tobago,Bronze,0
C000294,2024-07-07,65+,Jamaica,Silver,0
C000295,2025-08-10,35-44,Jamaica,Silver,0
C000296,2024-08-05,35-44,Trinidad,Bronze,0
C000297,2025-04-13,25-34,Jamaica,Bronze,0
C000298,2025-06-25,55-64,Trinidad,Bronze,1
C000299,2025-02-23,45-54,Trinidad,Bronze,0
C000300,2025-06-10,45-54,Jamaica,Bronze,1
C000301,2025-06-12,25-34,Trinidad,Platinum,0
C000302,2024-09-19,45-54,Trinidad,Bronze,0
C000303,2025-08-01,25-34,Jamaica,Bronze,0
C000304,2025-08-19,25-34,Jamaica,Bronze,0
C000305,2024-08-26,35-44,Trinidad,Gold,0
C000306,2025-01-09,25-34,Jamaica,Silver,0
C000307,2024-12-30,18-24,Barbados,Bronze,0
C000308,2024-08-29,25-34,Barbados,Bronze,1
C000309,2024-04-20,35-44,Trinidad,Bronze,1
C000310,2024-08-29,35-44,Barbados,Bronze,0
C000311,2025-01-20,55-64,Trinidad,Gold,1
C000312,2025-03-03,35-44,Tobago,Silver,1
C000313,2024-09-05,55-64,Barbados,Bronze,1
C000314,2025-07-30,45-54,Jamaica,Silver,0
C000315,2025-04-11,35-44,Barbados,Bronze,0
C000316,2024-07-07,18-24,Barbados,Silver,0
C000317,2024-12-08,18-24,Trinidad,Gold,1
C000318,2024-08-11,45-54,Trinidad,Platinum,0
C000319,2025-12-25,25-34,Jamaica,Bronze,0
C000320,2025-12-24,35-44,Jamaica,Bronze,0
C000321,2025-06-01,25-34,Jamaica,Silver,0
C000322,2025-01-12,18-24,Barbados,Silver,0
C000323,2025-12-02,35-44,Jamaica,Gold,0
C000324,2025-11-10,35-44,Trinidad,Bronze,0
C000325,2025-10-15,45-54,Barbados,Bronze,0
C000326,2025-01-13,55-64,Jamaica,Silver,0
C000327,2025-09-08,55-64,Barbados,Bronze,0
C000328,2025-08-11,35-44,Barbados,Gold,0
C000329,2025-08-19,18-24,Trinidad,Platinum,0
C000330,2024-05-05,25-34,Trinidad,Bronze,0
C000331,2024-11-28,55-64,Tobago,Gold,0
C000332,2025-08-18,55-64,Trinidad,Bronze,0
C000333,2025-05-28,35-44,Trinidad,Bronze,0
C000334,2025-07-20,35-44,Trinidad,Gold,0
C000335,2025-06-22,25-34,Barbados,Bronze,1
C000336,2025-08-26,25-34,Barbados,Bronze,0
C000337,2024-06-19,25-34,Tobago,Bronze,0
C000338,2024-10-13,18-24,Barbados,Gold,0
C000339,2024-11-06,65+,Trinidad,Bronze,0
C000340,2025-09-14,45-54,Jamaica,Silver,0
C000341,2024-09-27,45-54,Jamaica,Bronze,0
C000342,2024-09-18,55-64,Jamaica,Bronze,0
C000343,2024-04-15,65+,Jamaica,Bronze,0
C000344,2025-04-28,25-34,Trinidad,Bronze,0
C000345,2025-07-31,35-44,Barbados,Platinum,0
C000346,2025-06-25,25-34,Jamaica,Bronze,1
C000347,2025-05-27,35-44,Jamaica,Silver,0
C000348,2025-11-20,65+,Tobago,Bronze,1
C000349,2024-07-13,35-44,Barbados,Silver,0
C000350,2024-09-07,55-64,Tobago,Bronze,1
C000351,2025-04-28,35-44,Barbados,Silver,0
C000352,2024-08-16,25-34,Barbados,Silver,0
C000353,2024-07-29,25-34,Barbados,Bronze,0
C000354,2024-10-16,25-34,Trinidad,Silver,1
C000355,2024-09-17,35-44,Jamaica,Bronze,1
C000356,2025-12-02,45-54,Barbados,Bronze,1
C000357,2025-12-09,25-34,Tobago,Bronze,0
C000358,2024-04-21,45-54,Jamaica,Silver,0
C000359,2024-08-11,25-34,Trinidad,Platinum,0
C000360,2025-07-10,35-44,Trinidad,Silver,0
C000361,2024-09-27,35-44,Barbados,Bronze,0
C000362,2025-12-06,45-54,Trinidad,Silver,0
C000363,2024-05-20,25-34,Tobago,Bronze,0
C000364,2025-12-04,35-44,Jamaica,Bronze,0
C000365,2025-05-23,18-24,Trinidad,Bronze,1
C000366,2025-07-20,45-54,Jamaica,Bronze,0
C000367,2024-07-21,25-34,Barbados,Bronze,1
C000368,2025-11-25,65+,Jamaica,Bronze,1
C000369,2025-01-27,65+,Barbados,Bronze,0
C000370,2024-08-04,35-44,Trinidad,Platinum,0
C000371,2025-01-11,45-54,Trinidad,Bronze,1
C000372,2024-03-31,25-34,Barbados,Bronze,0
C000373,2024-01-17,25-34,Trinidad,Bronze,0
C000374,2025-08-22,65+,Trinidad,Silver,0
C000375,2025-01-30,25-34,Jamaica,Bronze,0
C000376,2025-06-26,35-44,Trinidad,Platinum,0
C000377,2025-02-10,18-24,Trinidad,Bronze,0
C000378,2024-01-16,65+,Barbados,Silver,0
C000379,2024-10-11,35-44,Trinidad,Bronze,0
C000380,2024-07-21,18-24,Trinidad,Bronze,0
C000381,2025-07-18,65+,Trinidad,Silver,0
C000382,2024-07-09,25-34,Trinidad,Bronze,1
C000383,2025-06-02,35-44,Jamaica,Bronze,0
C000384,2024-02-02,35-44,Barbados,Bronze,1
C000385,2025-01-08,45-54,Tobago,Silver,0
C000386,2024-10-30,25-34,Jamaica,Silver,0
C000387,2025-03-27,55-64,Trinidad,Bronze,1
C000388,2025-11-20,35-44,Barbados,Bronze,0
C000389,2024-08-22,18-24,Jamaica,Silver,0
C000390,2024-11-03,35-44,Jamaica,Silver,0
C000391,2025-12-02,65+,Barbados,Bronze,0
C000392,2024-09-26,25-34,Trinidad,Silver,0
C000393,2024-04-18,18-24,Trinidad,Bronze,0
C000394,2024-04-23,45-54,Tobago,Bronze,0
C000395,2025-02-04,35-44,Jamaica,Silver,0
C000396,2025-01-11,45-54,Trinidad,Gold,0
C000397,2025-01-13,25-34,Trinidad,Bronze,0
C000398,2025-05-18,55-64,Jamaica,Silver,0
C000399,2025-09-21,55-64,Barbados,Bronze,1
C000400,2024-01-30,65+,Trinidad,Silver,1
C000401,2024-05-15,35-44,Jamaica,Bronze,0
C000402,2025-07-25,55-64,Barbados,Gold,0
C000403,2025-02-02,55-64,Jamaica,Platinum,0
C000404,2024-12-27,45-54,Trinidad,Bronze,0
C000405,2025-10-31,65+,Trinidad,Silver,0
C000406,2025-10-26,18-24,Barbados,Silver,0
C000407,2024-03-08,55-64,Trinidad,Bronze,0
C000408,2025-11-17,65+,Barbados,Platinum,0
C000409,2024-11-08,18-24,Trinidad,Platinum,0
C000410,2024-05-06,25-34,Trinidad,Bronze,0
C000411,2025-07-29,25-34,Trinidad,Bronze,0
C000412,2024-07-31,25-34,Barbados,Silver,1
C000413,2024-11-09,45-54,Trinidad,Silver,0
C000414,2025-09-18,25-34,Tobago,Silver,0
C000415,2025-03-13,45-54,Jamaica,Bronze,1
C000416,2024-09-20,55-64,Jamaica,Silver,0
C000417,2025-05-10,45-54,Barbados,Silver,0
C000418,2024-06-04,45-54,Barbados,Gold,0
C000419,2025-04-10,35-44,Jamaica,Gold,0
C000420,2024-02-27,55-64,Tobago,Bronze,1
C000421,2024-09-10,45-54,Trinidad,Bronze,0
C000422,2024-12-05,45-54,Trinidad,Bronze,1
C000423,2024-08-03,25-34,Barbados,Silver,1
C000424,2025-12-04,18-24,Barbados,Bronze,0
C000425,2024-07-12,35-44,Trinidad,Bronze,1
C000426,2024-11-16,45-54,Trinidad,Bronze,1
C000427,2024-05-07,65+,Barbados,Silver,0
C000428,2025-11-08,25-34,Jamaica,Bronze,0
C000429,2025-09-16,35-44,Barbados,Bronze,0
C000430,2025-12-27,25-34,Jamaica,Silver,0
C000431,2025-02-16,35-44,Jamaica,Bronze,0
C000432,2024-03-13,45-54,Jamaica,Silver,0
C000433,2025-03-14,35-44,Jamaica,Silver,0
C000434,2025-01-22,35-44,Jamaica,Silver,0
C000435,2025-08-11,45-54,Trinidad,Bronze,1
C000436,2025-09-10,35-44,Trinidad,Silver,0
C000437,2025-06-02,25-34,Trinidad,Bronze,1
C000438,2025-08-24,35-44,Trinidad,Bronze,0
C000439,2024-02-15,35-44,Trinidad,Silver,0
C000440,2025-09-16,35-44,Trinidad,Bronze,0
C000441,2024-06-18,35-44,Jamaica,Bronze,0
C000442,2024-08-26,35-44,Barbados,Platinum,0
C000443,2024-01-01,55-64,Trinidad,Silver,0
C000444,2025-02-27,25-34,Trinidad,Silver,0
C000445,2024-04-07,45-54,Barbados,Silver,0
C000446,2025-03-04,45-54,Barbados,Gold,0
C000447,2024-06-14,45-54,Barbados,Bronze,0
C000448,2025-01-20,45-54,Barbados,Platinum,0
C000449,2024-04-24,25-34,Jamaica,Silver,1
C000450,2025-01-30,18-24,Trinidad,Bronze,0
C000451,2025-06-28,25-34,Jamaica,Gold,0
C000452,2024-07-11,25-34,Tobago,Gold,0
C000453,2025-12-22,25-34,Jamaica,Bronze,0
C000454,2025-05-17,35-44,Trinidad,Bronze,0
C000455,2024-04-13,25-34,Barbados,Bronze,0
C000456,2024-08-06,55-64,Trinidad,Gold,1
C000457,2025-11-13,55-64,Barbados,Bronze,0
C000458,2025-01-11,35-44,Trinidad,Bronze,0
C000459,2024-11-12,35-44,Trinidad,Silver,0
C000460,2025-04-07,25-34,Trinidad,Bronze,0
C000461,2024-10-08,35-44,Tobago,Bronze,0
C000462,2024-06-19,55-64,Barbados,Bronze,1
C000463,2024-09-03,35-44,Jamaica,Bronze,0
C000464,2025-01-30,45-54,Trinidad,Gold,0
C000465,2024-06-27,55-64,Tobago,Bronze,1
C000466,2025-03-23,45-54,Trinidad,Silver,0
C000467,2024-03-11,45-54,Barbados,Bronze,1
C000468,2024-10-23,65+,Trinidad,Bronze,0
C000469,2025-11-04,35-44,Trinidad,Bronze,1
C000470,2024-08-22,45-54,Jamaica,Bronze,0
C000471,2025-11-01,18-24,Barbados,Bronze,0
C000472,2025-04-14,35-44,Trinidad,Bronze,0
C000473,2024-11-23,18-24,Jamaica,Bronze,0
C000474,2024-04-19,65+,Trinidad,Silver,0
C000475,2024-06-20,25-34,Tobago,Bronze,0
C000476,2025-07-13,25-34,Barbados,Bronze,0
C000477,2024-10-22,25-34,Trinidad,Platinum,0
C000478,2025-03-14,55-64,Trinidad,Silver,0
C000479,2024-07-03,55-64,Tobago,Gold,0
C000480,2025-05-26,35-44,Jamaica,Bronze,1
C000481,2024-01-29,25-34,Jamaica,Bronze,0
C000482,2025-10-18,35-44,Trinidad,Bronze,0
C000483,2024-07-04,25-34,Trinidad,Silver,0
C000484,2024-11-04,45-54,Trinidad,Bronze,0
C000485,2024-02-03,55-64,Trinidad,Bronze,1
C000486,2024-03-30,35-44,Trinidad,Bronze,0
C000487,2025-09-04,25-34,Barbados,Bronze,1
C000488,2025-07-29,25-34,Jamaica,Silver,0
C000489,2024-09-03,35-44,Jamaica,Platinum,0
C000490,2025-01-06,45-54,Trinidad,Bronze,0
C000491,2024-02-02,55-64,Trinidad,Bronze,0
C000492,2025-01-01,25-34,Trinidad,Silver,1
C000493,2024-04-01,45-54,Barbados,Silver,0
C000494,2025-08-21,25-34,Trinidad,Bronze,0
C000495,2024-01-20,25-34,Barbados,Platinum,0
C000496,2024-03-07,25-34,Trinidad,Bronze,0
C000497,2024-06-16,25-34,Tobago,Bronze,0
C000498,2024-01-02,55-64,Trinidad,Silver,0
C000499,2024-10-04,35-44,Barbados,Silver,1
C000500,2025-06-08,25-34,Barbados,Silver,0
C000501,2025-09-22,18-24,Trinidad,Gold,0
C000502,2024-01-31,35-44,Trinidad,Bronze,1
C000503,2024-09-30,65+,Jamaica,Gold,0
C000504,2024-01-31,35-44,Jamaica,Bronze,1
C000505,2025-07-26,55-64,Trinidad,Gold,0
C000506,2025-11-09,25-34,Trinidad,Bronze,1
C000507,2024-08-25,45-54,Barbados,Bronze,1
C000508,2024-11-26,25-34,Tobago,Bronze,1
C000509,2024-11-20,35-44,Jamaica,Bronze,1
C000510,2025-03-16,45-54,Jamaica,Silver,0
C000511,2025-05-20,25-34,Barbados,Bronze,0
C000512,2025-01-18,45-54,Trinidad,Silver,0
